,tmpc,mean_load,min_load,max_load
2017-01-02,-1.2137499999999999,14223.245833333334,12043.25,17232.08
2017-01-03,2.86375,14790.887083333333,11904.59,17573.58
2017-01-04,4.45,14499.089166666667,12138.03,16972.16
2017-01-05,-1.8812499999999999,15194.305,12123.94,18084.99
2017-01-06,-3.4633333333333334,15433.482916666666,12799.18,17756.0
2017-01-07,-7.127916666666667,15610.487500000001,12950.44,18512.52
2017-01-08,-8.620869565217392,15496.844166666668,13211.32,18467.22
2017-01-09,-10.787083333333333,17073.263750000002,14020.01,19577.21
2017-01-10,-6.307916666666666,16220.727083333333,13367.8,18408.68
2017-01-11,7.156666666666666,14463.197083333333,12675.36,16685.41
2017-01-12,9.691818181818181,13812.753333333334,11063.87,16212.95
2017-01-13,3.23625,13896.968333333332,11458.96,16577.39
2017-01-14,-3.890416666666667,14446.119583333333,12302.98,16851.92
2017-01-15,-1.4141666666666666,13793.65625,12361.0,16401.98
2017-01-16,-1.5024999999999997,14776.059166666666,12399.64,17491.74
2017-01-17,0.6808333333333333,14896.247083333334,12745.32,17304.87
2017-01-18,1.7575,14820.970000000001,11986.06,17300.98
2017-01-19,3.8466666666666662,14233.981249999999,11923.23,16600.15
2017-01-20,3.41,14203.514583333332,11719.13,16336.22
2017-01-21,5.718333333333334,12845.269166666667,11344.67,14784.44
2017-01-22,5.45,13027.570833333333,11056.66,15763.66
2017-01-23,2.2733333333333334,14578.415416666665,11306.86,17494.74
2017-01-24,1.7391666666666667,14930.782916666665,12015.85,17483.49
2017-01-25,2.0504166666666666,14194.103333333333,11621.76,16758.96
2017-01-26,4.2316666666666665,14180.529166666667,11806.74,16413.69
2017-01-27,3.42625,14296.079166666668,12146.38,16394.94
2017-01-28,0.8433333333333333,13659.031666666668,12126.21,15609.86
2017-01-29,1.1229166666666668,13323.829166666668,11642.88,16097.71
2017-01-30,-2.1575,14754.874166666666,11798.02,17593.56
2017-01-31,-5.59,15559.935,12749.72,18283.42
2017-02-01,-0.51375,15047.833333333334,12786.79,17204.45
2017-02-02,-1.4995833333333335,14933.555833333334,12553.9,17369.22
2017-02-03,-3.268333333333333,15084.3575,12967.21,17111.63
2017-02-04,-3.7595833333333335,14149.300833333333,12473.62,16481.06
2017-02-05,0.5645833333333333,13887.167083333334,12257.48,16309.04
2017-02-06,1.0329166666666667,14391.264583333332,11788.37,17272.41
2017-02-07,-0.18958333333333333,15205.801249999999,11969.7,17751.08
2017-02-08,2.5304166666666665,14383.699583333333,12376.44,16316.27
2017-02-09,-4.145217391304348,15386.799583333333,12441.99,18123.98
2017-02-10,-7.645416666666667,15896.34625,13577.22,17853.21
2017-02-11,-3.966666666666667,14828.5775,12541.11,16860.57
2017-02-12,-4.182083333333334,14827.640416666667,12650.92,17382.79
2017-02-13,-1.6968181818181818,15325.980000000001,12768.89,18003.44
2017-02-14,-2.9170833333333337,15077.762916666667,13089.47,17182.26
2017-02-15,0.6458333333333334,14888.362916666667,12277.04,17164.93
2017-02-16,-0.9979166666666667,14950.297916666668,12352.9,17531.42
2017-02-17,-1.6808333333333332,14638.908333333333,12495.65,16639.83
2017-02-18,2.3470833333333334,13097.410416666666,11770.45,14892.7
2017-02-19,7.428333333333334,12311.715833333334,10853.51,14479.42
2017-02-20,3.643333333333333,13166.694583333332,10971.73,16030.43
2017-02-21,1.1824999999999999,13814.362916666667,11405.73,16413.47
2017-02-22,6.30913043478261,13282.21,11029.41,15640.22
2017-02-23,9.713333333333333,13001.765416666667,11052.3,15218.57
2017-02-24,14.219583333333333,12602.422916666668,10361.41,14639.78
2017-02-25,13.873333333333333,11744.973333333333,9963.62,13875.75
2017-02-26,1.8775000000000002,12330.27375,10437.7,15380.91
2017-02-27,4.6362499999999995,13396.355833333333,11065.22,15971.94
2017-02-28,8.609166666666667,13388.129583333333,11323.56,15624.66
2017-03-01,12.14625,13206.633333333333,10602.05,15472.48
